"scenario_id","B_target","H_target","B_actual","H_actual","V_delta","k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","R_bag_inf_mc","R_weight_exact_mc","R_weight_identity_gap","R_bag_inf_smallhet","R_bag_excess_smallhet","Q_bag_inf_smallhet_level","R_smallhet_abs_error","R_smallhet_rel_error","R_ratio_mc_to_smallhet","w_l2_mc","w_l2_smallhet","w_max_abs_mc","w_max_abs_smallhet","w_rmse_approx_error","w_max_approx_error","w_corr_with_approx"
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,1,4.13743004899541,1.06403014130665,1.06787189119126,0.00403014130664814,0.00403014130664819,-5.29090660172926e-17,0.00279144875827308,0.00279144875827308,1.06279144875827,0.00123869254837506,0.307357100936313,1.44374540091553,0.0371850532511607,0.0305038181122357,0.0134461693422686,0.0118461693422686,0.00297939591192577,0.0072,0.824029803101181
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,2,2.54108009142763,1.06167459489434,1.06352385176501,0.00167459489434485,0.0016745948943449,-4.59701721133854e-17,0.000669668673371635,0.000669668673371635,1.06066966867337,0.00100492622097321,0.600101089742287,2.50063197060366,0.024240805971964,0.014940645605993,0.00824936786493821,0.00580220539213154,0.00222083066208367,0.00507646033594499,0.778957390665565
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,3,2.02032785604082,1.06089875825372,1.06209804462595,0.000898758253718324,0.000898758253718415,-9.11814027060309e-17,0.000285358429683245,0.000285358429683245,1.06028535842968,0.000613399824035079,0.682497013515407,3.14957667350486,0.0180360510716702,0.00975292143724544,0.00810064043550364,0.00378755074208587,0.00168976176133751,0.00468936413400231,0.789219050649906
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,4,1.76049094888443,1.06050011491982,1.06137510346228,0.000500114919823824,0.000500114919823762,6.17995238316738e-17,0.000153756392453817,0.000153756392453817,1.06015375639245,0.000346358527370007,0.692557877481477,3.25264473133395,0.0132941393958771,0.00715905935287165,0.00503318364353531,0.00278022341706303,0.00132341282036832,0.003543779471848,0.737679867721507
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,5,1.60482805850829,1.06028988317144,1.06097055589062,0.000289883171444627,0.000289883171444596,3.10081821330854e-17,9.41721571928862e-05,9.41721571928862e-05,1.06009417215719,0.000195711014251741,0.675137550332497,3.07822587997936,0.0102317009030896,0.00560274210224738,0.00356791900592522,0.00217582702204933,0.00117444266367859,0.00345139488065321,0.585363831034309
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,6,1.50363956062728,1.0602154320173,1.06076971217807,0.000215432017304007,0.00021543201730411,-1.03487097363741e-16,6.25230783009011e-05,6.25230783009011e-05,1.0600625230783,0.000152908939003106,0.709778151440361,3.44563996460971,0.00837107567436289,0.00456519726849787,0.00266865375108326,0.00177289609204019,0.000990956797277137,0.00247451452329581,0.547108411587046
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,7,1.43195852178588,1.06021312143043,1.06067780318087,0.000213121430427954,0.000213121430428101,-1.47614125783901e-16,4.387108053657e-05,4.387108053657e-05,1.06004387108054,0.000169250349891384,0.794149840077201,4.85790246835384,0.00852260071386855,0.00382409381581964,0.00297274877814382,0.00148508828489081,0.000964513239802115,0.0021380529861544,0.625078182038838
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,8,1.37750667122143,1.06015736797324,1.0605540546023,0.000157367973243172,0.00015736797324324,-6.75186902915348e-17,3.20446923781349e-05,3.20446923781349e-05,1.06003204469238,0.000125323280865037,0.796370940555878,4.91089043346689,0.00764216268947241,0.00326826622631097,0.00388073251939937,0.00126923242952877,0.000862824708215013,0.0026115000898706,0.637814244258862
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,9,1.33464750104967,1.06008621517409,1.06042941678143,8.62151740883554e-05,8.62151740884719e-05,-1.16416208270631e-16,2.41279372414634e-05,2.41279372414634e-05,1.06002412793724,6.2087236846892e-05,0.720142799726455,3.57325092590991,0.00535122766744311,0.00283595587891534,0.00225529829670233,0.00110134454202497,0.000666677769922798,0.00208537673635921,0.476260805059857
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,10,1.30169930775387,1.06013901180892,1.06044096217885,0.000139011808922396,0.000139011808922508,-1.11808349037568e-16,1.86019075936565e-05,1.86019075936565e-05,1.06001860190759,0.000120409901328739,0.866184695114347,7.47298674732695,0.00712220147143986,0.00249010760099884,0.00263794129897062,0.000967034232021924,0.000856154617426545,0.00197007428493981,0.571646414336369
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,11,1.27367321323342,1.06010045131918,1.06036741727158,0.000100451319183792,0.000100451319183803,-1.09504419421036e-17,1.46144119059667e-05,1.46144119059667e-05,1.06001461441191,8.58369072778252e-05,0.854512493965089,6.87344245051557,0.00590274387553065,0.00220714082815806,0.00201740622006303,0.000857143978383069,0.000759218081604412,0.00198903158147355,0.418064736052556
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,12,1.25086301648499,1.06006861504369,1.06030710804549,6.86150436886024e-05,6.86150436886968e-05,-9.44069041691753e-17,1.16584872244965e-05,1.16584872244965e-05,1.06001165848722,5.69565564641058e-05,0.830088467517319,5.88541569479358,0.00496130480761277,0.00197133518412408,0.00206139659852989,0.000765568767017356,0.000616944125743177,0.00149198179326787,0.484116712702017
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,13,1.23099948802214,1.06008246311247,1.06029610939361,8.24631124682895e-05,8.24631124684619e-05,-1.72401697952351e-16,9.41790365965821e-06,9.41790365965821e-06,1.06000941790366,7.30452088086313e-05,0.885792527376652,8.75599448118396,0.00538224608597226,0.00177180733147994,0.0027893554175208,0.000688082049707907,0.000769170620267897,0.00304682358985209,0.132478067015328
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,14,1.21491298189702,1.06008684462877,1.06028037730036,8.68446287747293e-05,8.68446287747079e-05,2.13723353251205e-17,7.68752303615397e-06,7.68752303615397e-06,1.06000768752304,7.91571057385753e-05,0.911479579743555,11.29682842787,0.00570693605298079,0.00160078345778497,0.00261555588854976,0.000621664863442665,0.000746616983144213,0.00221484286068414,0.397336003485275
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,15,1.20053033986526,1.06007711067487,1.06025267721136,7.71106748680417e-05,7.71106748680782e-05,-3.64698505769812e-17,6.32981577839701e-06,6.32981577839701e-06,1.06000632981578,7.07808590896447e-05,0.917912587469515,12.1821357157363,0.00518457629486802,0.00145256276724932,0.00222522040421224,0.000564103302012789,0.000686126899533487,0.00183563131269426,0.361925371310993
"joint_BH_m50_T240_B3_H1p05",3,1.05,3,1.04693768516818,0.046524145971218,16,1.18788070571039,1.06003986603396,1.06019966708356,3.98660339615553e-05,3.98660339616244e-05,-6.91111122323729e-17,5.24995243610033e-06,5.24995243610033e-06,1.06000524995244,3.4616081525455e-05,0.868310139875888,7.59359907480759,0.00382491654041278,0.00132286966303063,0.00142467289862306,0.000513736935761647,0.00050184872314077,0.00119747495602008,0.374255326076689
