"scenario_id","B_target","H_target","B_actual","H_actual","V_delta","k","Q_subset_mc","Q_bag_inf_mc","Q_bag_G_mc","R_bag_inf_mc","R_weight_exact_mc","R_weight_identity_gap","R_bag_inf_smallhet","R_bag_excess_smallhet","Q_bag_inf_smallhet_level","R_smallhet_abs_error","R_smallhet_rel_error","R_ratio_mc_to_smallhet","w_l2_mc","w_l2_smallhet","w_max_abs_mc","w_max_abs_smallhet","w_rmse_approx_error","w_max_approx_error","w_corr_with_approx"
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,10,1.32975632797147,1.06090206854745,1.06123813637173,0.000902068547449453,0.000902068547449408,4.45607092891542e-17,0.0004095542475849,0.0004095542475849,1.06040955424758,0.000492514299864553,0.545983230716899,2.20256181633779,0.0273855303946905,0.0116840952806925,0.0183173291686703,0.00568039083014633,0.00276373980821866,0.012636938338524,0.788455723448997
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,11,1.29444912032398,1.06063675019649,1.06092901565915,0.000636750196488123,0.00063675019648827,-1.47559915675277e-16,0.000321762402157352,0.000321762402157352,1.06032176240216,0.000314987794330771,0.494680325295583,1.9789453093924,0.0229849892965376,0.0103563571806138,0.0175702720630125,0.00503489187217515,0.00229884034184003,0.0125353801908373,0.779972561826469
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,12,1.26939993181906,1.06062793624288,1.06088890123735,0.000627936242881377,0.000627936242881307,7.02563007770607e-17,0.000256682436420397,0.000256682436420397,1.06025668243642,0.00037125380646098,0.591228505552455,2.44635453690698,0.0220136518471176,0.00924990876388154,0.0142240277512347,0.00449697607386584,0.00224045875081309,0.0102488045411904,0.783744755194535
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,13,1.24740197290202,1.06048854196155,1.06072218375023,0.000488541961553901,0.000488541961553927,-2.56955914879065e-17,0.000207351984076823,0.000207351984076823,1.06020735198408,0.000281189977477078,0.575569755733366,2.35609976788502,0.0195744064900862,0.00831368318049272,0.0127085534002279,0.0040418165522195,0.00194174534049025,0.00866673684800842,0.810382825127553
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,14,1.22528359876209,1.06031695651672,1.06052316481953,0.000316956516724698,0.000316956516724658,4.03323208164608e-17,0.000169254561501923,0.000169254561501923,1.0601692545615,0.000147701955222775,0.466000689145211,1.87266159276361,0.0174541025245577,0.00751120410901659,0.0135163166138143,0.00365167981937978,0.00188576858138496,0.00986463679443452,0.698916363886106
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,15,1.21125383936386,1.06037369923617,1.06056229941133,0.000373699236169589,0.000373699236169565,2.4231918555051e-17,0.00013936220924764,0.00013936220924764,1.06013936220925,0.000234337026921949,0.627073871822431,2.68149621182845,0.0183087859076046,0.00681572224707061,0.0149456698282708,0.00331356131758536,0.00198000420845274,0.0116321085106854,0.743843453745266
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,16,1.19802645372475,1.06029970074012,1.06047185918135,0.000299700740123976,0.000299700740123961,1.45283091113058e-17,0.00011558708745316,0.00011558708745316,1.06011558708745,0.000184113652670816,0.614324984965516,2.59285657877161,0.0149819805250202,0.00620717561786788,0.0105149761464853,0.00301770762851524,0.00156684003932875,0.0074972685179701,0.754009363616716
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,17,1.18407987249317,1.06020156714277,1.06035641502446,0.000201567142769976,0.000201567142770015,-3.93294338069117e-17,9.64542767344196e-05,9.64542767344196e-05,1.06009645427673,0.000105112866035557,0.521478176408488,2.08976884793795,0.0122610943402608,0.00567022270974782,0.00919762754983747,0.0027566602558063,0.00124926239437828,0.00644096729403116,0.751210605184702
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,18,1.17285645538075,1.06014023065407,1.06028112593498,0.000140230654066986,0.000140230654067035,-4.88975179790962e-17,8.08996044612148e-05,8.08996044612148e-05,1.06008089960446,5.93310496057714e-05,0.423096148274612,1.7333910962966,0.0104316677694822,0.00519293123586332,0.00662551760222771,0.0025246181467317,0.00102058419276932,0.00410089945549601,0.772615656491401
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,19,1.16348841181795,1.06015247557947,1.06028164549977,0.000152475579474398,0.000152475579474466,-6.75457953458469e-17,6.81408642536511e-05,6.81408642536511e-05,1.06006814086425,8.4334715220747e-05,0.553103096977621,2.23765256200472,0.011055058794079,0.00476588096975614,0.00757975706132115,0.00231700152282284,0.00118822592607775,0.00526275553849831,0.705428006031122
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,20,1.15416013661419,1.06008030290859,1.06019790270073,8.03029085933993e-05,8.03029085934543e-05,-5.50097077264833e-17,5.75935660666266e-05,5.75935660666266e-05,1.06005759356607,2.27093425267727e-05,0.282796014796397,1.39430346265591,0.00750576465733734,0.00438153573025968,0.00408277442414441,0.00213014656130487,0.00072121987195345,0.00277736146768954,0.75298431834896
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,21,1.14827518945809,1.06014948304229,1.06025964017531,0.000149483042289011,0.000149483042289177,-1.65747407118721e-16,4.88145014482569e-05,4.88145014482569e-05,1.06004881450145,0.000100668540840754,0.673444554641331,3.06226711026564,0.0114577177140893,0.00403379479928669,0.00869348763084321,0.00196108731040766,0.00125872935939864,0.00673240032043555,0.739221669783398
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,22,1.13992017467164,1.06007938099279,1.06017918198489,7.93809927865929e-05,7.93809927867004e-05,-1.0745798782047e-16,4.14631366356614e-05,4.14631366356614e-05,1.06004146313664,3.79178561509316e-05,0.47766921047296,1.91449560326604,0.00846348232086712,0.00371766668022033,0.00595232872729597,0.00180739708231929,0.000891028024503527,0.00414493164497668,0.727091927210529
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,23,1.13425679538502,1.06010155565144,1.06019424970111,0.000101555651443874,0.000101555651444005,-1.30917412327625e-16,3.52746983092382e-05,3.52746983092382e-05,1.06003527469831,6.6280953134636e-05,0.652656471523565,2.87899418879729,0.0086304226791668,0.00342902796281192,0.00588633481320673,0.00166707122189077,0.000925833299848292,0.00441268227309879,0.732988461370828
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,24,1.12847568496239,1.06007458069903,1.06016008207936,7.45806990316566e-05,7.45806990316635e-05,-6.84402621381475e-18,3.00410884730243e-05,3.00410884730243e-05,1.06003004108847,4.45396105586323e-05,0.597200229240637,2.48262306136567,0.00687427756049398,0.00316444247185421,0.00430811448103682,0.00153843918316463,0.000686713364548276,0.00276967529787219,0.774381225421429
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,25,1.12278828068756,1.06005654806196,1.06013496272774,5.65480619609815e-05,5.65480619610221e-05,-4.0569490041692e-17,2.55971404740563e-05,2.55971404740563e-05,1.06002559714047,3.09509214869252e-05,0.547338324490794,2.20915543352568,0.00667398795153597,0.00292102382017312,0.00476339351835188,0.00142009770753658,0.000691702004728564,0.00350805987307475,0.747681326705452
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,26,1.11776077760846,1.06006118587697,1.06013331036663,6.11858769676843e-05,6.11858769677838e-05,-9.95433119613254e-17,2.1810581232332e-05,2.1810581232332e-05,1.06002181058123,3.93752957353523e-05,0.643535692985959,2.80532995961531,0.00656787101819961,0.0026963296801598,0.00364586598289932,0.00131085942234146,0.000700885704887868,0.00241548259071965,0.729710103736189
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,27,1.11315719173423,1.06005059812422,1.06011698136623,5.05981242198139e-05,5.05981242198293e-05,-1.53482370042479e-17,1.85746053645758e-05,1.85746053645758e-05,1.06001857460536,3.20235188552381e-05,0.632899328760055,2.7240484105418,0.0064477260198502,0.00248827955051784,0.00391561189739538,0.00120971286197561,0.000722869549424211,0.00284625360697412,0.674334045469281
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,28,1.10902497066054,1.06005724640208,1.0601184560574,5.72464020771601e-05,5.72464020773566e-05,-1.96423552336483e-16,1.58023163130653e-05,1.58023163130653e-05,1.06001580231631,4.14440857640948e-05,0.723959659652217,3.62265891550525,0.00733069076986147,0.00229509014442174,0.00611305272264026,0.0011157910559216,0.000871768514510051,0.00512671914420823,0.624307668898885
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,29,1.10479620257913,1.06003318802452,1.06008914179271,3.31880245185712e-05,3.31880245186859e-05,-1.14762799957591e-16,1.34225195589284e-05,1.34225195589284e-05,1.06001342251956,1.97655049596427e-05,0.59556135824181,2.47256294713276,0.00549854511742996,0.0021152241456426,0.00393506687352552,0.00102834661580235,0.000632693554982643,0.00302603216487656,0.631654638785445
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,30,1.10190037299988,1.06006004392508,1.06011234433643,6.00439250848517e-05,6.00439250848981e-05,-4.64038529823796e-17,1.13765068773583e-05,1.13765068773583e-05,1.06001137650688,4.86674182074933e-05,0.810530259950836,5.27788764443608,0.00738589634271886,0.00194734921344875,0.00450251938853709,0.000946731805024388,0.000872167223209808,0.00366563029168567,0.70604061213662
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,31,1.09847710165696,1.06004197711521,1.06009002102089,4.1977115212033e-05,4.1977115212082e-05,-4.9046595777813e-17,9.61557514165901e-06,9.61557514165901e-06,1.06000961557514,3.23615400703739e-05,0.770932921590985,4.36553348017314,0.00575966170964011,0.00179030492204159,0.00337407136052809,0.000870382465909518,0.000649576139258702,0.00260467331987436,0.740986352165218
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,32,1.09493796592342,1.06002396714753,1.060067609646,2.39671475295022e-05,2.39671475294572e-05,4.50282714760386e-17,8.09909522811936e-06,8.09909522811936e-06,1.06000809909523,1.58680523013829e-05,0.662075129376584,2.95923764994025,0.00445128962784073,0.00164307589884738,0.00363826202342454,0.000798804960489327,0.000514548863874298,0.00283945706293522,0.63411923961541
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,33,1.09208849218297,1.06002116540851,1.06006124956697,2.11654085058299e-05,2.11654085059593e-05,-1.29413081813301e-16,6.79299687511686e-06,6.79299687511686e-06,1.06000679299688,1.43724116307131e-05,0.679051936406247,3.11576891538991,0.00359989378171678,0.00150476984675585,0.00247949302529385,0.000731565485700663,0.00038071272457306,0.00183280599590866,0.736241600236914
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,34,1.08894388945661,1.06001809184763,1.06005424909464,1.8091847626911e-05,1.8091847626933e-05,-2.20804548690251e-17,5.66857090082907e-06,5.66857090082907e-06,1.0600056685709,1.24232767260819e-05,0.686678164788583,3.19160648132052,0.00404782804364459,0.00137459944478735,0.00289641276642222,0.000668281274134862,0.000479919064047374,0.00222813149228736,0.607310155132789
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,35,1.08659006017501,1.06001659999738,1.0600498168226,1.65999973826825e-05,1.65999973827708e-05,-8.83082669489443e-17,4.70151559727564e-06,4.70151559727564e-06,1.0600047015156,1.18984817854068e-05,0.716776124182985,3.53077577628405,0.00366431305353007,0.00125186735150276,0.00278423631158448,0.000608613303229963,0.000432561460832747,0.00217562300835451,0.614628695729145
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,36,1.0839167340922,1.06001634895904,1.06004622444045,1.6348959037682e-05,1.63489590376284e-05,5.35494229254169e-17,3.8711724791011e-06,3.8711724791011e-06,1.06000387117248,1.24777865585809e-05,0.76321596560499,4.22325771479918,0.00345828422117476,0.0011359537078451,0.00212257618777337,0.00055226021959756,0.000429940714918756,0.00157031596817581,0.510082712509892
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,37,1.0814637115994,1.06000740631913,1.06003422670073,7.40631912643508e-06,7.4063191263951e-06,3.99774140115612e-17,3.15990996356136e-06,3.15990996356136e-06,1.06000315990996,4.24640916287371e-06,0.573349472306314,2.34383865737991,0.00233452190814491,0.00102630566654731,0.00159449535528113,0.000498953248593934,0.000276565183159006,0.00115343218261619,0.559047511670414
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,38,1.07944265174249,1.06000900277539,1.0600332948366,9.00277539406247e-06,9.00277539406995e-06,-7.48268905604449e-18,2.55262342677569e-06,2.55262342677569e-06,1.06000255262343,6.45015196728678e-06,0.716462611245505,3.52687172719173,0.00272049948200974,0.000922428574791511,0.00188788147071704,0.000448451907643131,0.000319992839661759,0.00143942956307391,0.624081071714753
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,39,1.07732367919322,1.06000702495461,1.06002867077241,7.02495460691566e-06,7.02495460700212e-06,-8.64600410580355e-17,2.0363274144384e-06,2.0363274144384e-06,1.06000203632741,4.98862719247726e-06,0.710129455863849,3.44981585824845,0.00223060871746657,0.000823878513382161,0.00144383995454635,0.000400540379048779,0.000254262345345518,0.00108977149049382,0.658937085918378
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,40,1.07551454805397,1.06001301057425,1.0600323874961,1.30105742519593e-05,1.30105742520145e-05,-5.52028312384573e-17,1.59982127962852e-06,1.59982127962852e-06,1.06000159982128,1.14107529723308e-05,0.877036843367033,8.13251731154643,0.00304394826573056,0.00073025595504328,0.00189252640599528,0.000355024426884145,0.000374615407215166,0.001578692994676,0.62578343917122
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,41,1.07369661433587,1.06000872712051,1.06002583697953,8.72712051003255e-06,8.72712050997589e-06,5.66631160395237e-17,1.23341366948159e-06,1.23341366948159e-06,1.06000123341367,7.49370684055096e-06,0.858668885336958,7.07558277159404,0.00258373604166123,0.000641200350769709,0.00151765955502464,0.000311728765069006,0.000316749824029042,0.00129714245746676,0.624831502046499
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,42,1.07177379812336,1.06000642056614,1.06002112978808,6.42056613808784e-06,6.42056613821027e-06,-1.22437765492662e-16,9.28694438968027e-07,9.28694438968027e-07,1.06000092869444,5.49187169911981e-06,0.855356300520158,6.91353998546866,0.00221759412312118,0.000556385489556784,0.00166182718452826,0.000270494801435539,0.000269834300099867,0.00139133238309272,0.64301880461915
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,43,1.06990094242518,1.06000241686886,1.06001479002581,2.41686886104375e-06,2.4168688612114e-06,-1.67649419601781e-16,6.78344988225395e-07,6.78344988225395e-07,1.06000067834499,1.73852387281836e-06,0.719329004912395,3.56289042153385,0.00116545722749294,0.000475515505609577,0.000842358197724921,0.000231178696575723,0.00015348509881167,0.000678822262326698,0.366769139945694
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,44,1.06831479714805,1.06000416284601,1.06001455113888,4.16284600657235e-06,4.16284600660384e-06,-3.14867557482841e-17,4.75979884848154e-07,4.75979884848154e-07,1.06000047597988,3.6868661217242e-06,0.885659982594439,8.74584439193345,0.00191232982317465,0.000398321430023607,0.00120535498264772,0.000193649687391352,0.000248858602972458,0.00103417312192811,0.472045672765897
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,45,1.06691211932539,1.0600020382629,1.06001067586422,2.03826289646436e-06,2.03826289638146e-06,8.28969969654102e-17,3.16014079926621e-07,3.16014079926621e-07,1.06000031601408,1.72224881653774e-06,0.844959116669989,6.44991165247337,0.00095908133442413,0.000324558202241457,0.000401947033408775,0.000157788634170731,0.000115343292049688,0.000290080479540636,0.578215634772786
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,46,1.0652984411309,1.06000140273916,1.06000802403715,1.40273915749667e-06,1.40273915753404e-06,-3.73761758305433e-17,1.93551156703639e-07,1.93551156703639e-07,1.06000019355116,1.20918800079303e-06,0.862019139004396,7.24738193967247,0.000933839527755935,0.000254002071319402,0.000424797751276032,0.000123486757177094,0.000122156312660155,0.000466273648874384,0.401491038490953
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,47,1.06384990025081,1.06000109440011,1.06000590540742,1.09440011120121e-06,1.09440011112988e-06,7.13328796530209e-17,1.04288938101632e-07,1.04288938101632e-07,1.06000010428894,9.90111173099578e-07,0.904706754838351,10.4939232398233,0.000730714109456022,0.00018644832894722,0.000351376287221698,9.06445345236116e-05,0.000102784190775411,0.000334832503406847,0.148548404640594
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,48,1.06258390251827,1.06000074284712,1.06000397179671,7.42847118706536e-07,7.42847118914027e-07,-2.074914142209e-16,4.44394799896808e-08,4.44394799896808e-08,1.06000004443948,6.98407638716855e-07,0.940176815833842,16.7159273438625,0.000690656828402153,0.000121709325840547,0.00043863796879863,5.91707378140242e-05,9.39726536608006e-05,0.000379467230984606,0.299056658659224
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,49,1.06126084264146,1.0600002724752,1.06000184818791,2.72475200624456e-07,2.7247520061256e-07,1.18958365903578e-17,1.06610331003982e-08,1.06610331003982e-08,1.06000001066103,2.61814167524058e-07,0.960873381959293,25.5580484610145,0.0004006192643782,5.96127310239412e-05,0.000249459680565611,2.89815858680935e-05,5.4072495020672e-05,0.000220478094697518,0.373874266901204
"joint_BH_m50_T240_B3_H3",3,3,3,2.86872179354433,1.02431223797015,50,1.06,1.06,1.06,-2.22044604925031e-16,1.52767783927992e-28,-2.22044604925184e-16,0,0,1.06,-2.22044604925031e-16,NA,NA,1.06017331852694e-14,0,4.59354776438659e-15,0,1.49931148552689e-15,4.59354776438659e-15,NA
"joint_BH_m50_T240_B3_H8",3,8,3,6.14490284389678,2.74720099612819,1,21.2815199957339,1.45292776285797,1.47771350314906,0.392927762857969,0.392927762857969,5.55111512312578e-17,0.164832059767691,0.164832059767691,1.22483205976769,0.228095703090278,0.580502893028526,2.3838066660803,0.238830711291451,0.234401407680423,0.168664113129164,0.164664113129164,0.00280713376952364,0.007,0.996656250538413
"joint_BH_m50_T240_B3_H8",3,8,3,6.14490284389678,2.74720099612819,2,4.75329528583585,1.11333396516981,1.11788391682064,0.053333965169805,0.0533339651698051,-5.55111512312578e-17,0.0395432180034111,0.0395432180034111,1.09954321800341,0.0137907471663939,0.258573446067376,1.34875126159951,0.203905712583741,0.114808852741432,0.147440293556885,0.0806518105122437,0.0134207292236352,0.0667884830446411,0.977199061079944
"joint_BH_m50_T240_B3_H8",3,8,3,6.14490284389678,2.74720099612819,3,2.7850899637999,1.08330072546389,1.08542796201181,0.0233007254638886,0.0233007254638887,-6.2450045135165e-17,0.0168501096777653,0.0168501096777653,1.07685010967777,0.00645061578612334,0.276841843234473,1.38282337085528,0.172600993456537,0.0749446677617678,0.129505021240056,0.0526477096399368,0.0147959957976988,0.0768573116001195,0.945525336967636
"joint_BH_m50_T240_B3_H8",3,8,3,6.14490284389678,2.74720099612819,4,2.20280067055018,1.0763932519217,1.07780126119499,0.0163932519217009,0.0163932519217011,-1.17961196366423e-16,0.00907915031415126,0.00907915031415126,1.06907915031415,0.00731410160754968,0.446165388202659,1.80559318377509,0.152736806433098,0.0550125752719359,0.119651081113549,0.0386456592037834,0.014615535329597,0.0810054219097655,0.93271790030597
"joint_BH_m50_T240_B3_H8",3,8,3,6.14490284389678,2.74720099612819,5,1.91027039204753,1.07337448713211,1.07442060701325,0.0133744871321106,0.0133744871321107,-8.67361737988404e-18,0.00556076503172969,0.00556076503172969,1.06556076503173,0.00781372210038095,0.584225923820367,2.40515235867653,0.141005892858705,0.0430533197780368,0.106551424539116,0.0302444289420914,0.0144745188392252,0.0763069955970245,0.927449240569769
"joint_BH_m50_T240_B3_H8",3,8,3,6.14490284389678,2.74720099612819,6,1.70737662751872,1.06935103441928,1.07014856641066,0.00935103441928398,0.00935103441928407,-9.71445146547012e-17,0.0036919208166765,0.0036919208166765,1.06369192081668,0.00565911360260747,0.605185838150385,2.53283720957533,0.121259488341727,0.0350804827821041,0.0957032893433288,0.02464360876763,0.0127407953385296,0.0710596805756988,0.918947108040495
"joint_BH_m50_T240_B3_H8",3,8,3,6.14490284389678,2.74720099612819,7,1.57194426969281,1.06694069500384,1.0675719494722,0.00694069500383976,0.00694069500383972,4.16333634234434e-17,0.00259054032342358,0.00259054032342358,1.06259054032342,0.00435015468041618,0.626760674256622,2.67924607892887,0.109269135603895,0.0293855992135807,0.0859034580890603,0.020643022928729,0.0118431599157075,0.0652604351603313,0.901642097801094
"joint_BH_m50_T240_B3_H8",3,8,3,6.14490284389678,2.74720099612819,8,1.48862301077769,1.06624406186443,1.06677203555057,0.00624406186442927,0.00624406186442932,-5.11743425413158e-17,0.00189220476774135,0.00189220476774135,1.06189220476774,0.00435185709668792,0.69695931769659,3.29988697358719,0.104607691588291,0.0251144365371881,0.0818513428877275,0.0176425835495533,0.0117072906592688,0.0642087593381742,0.898397038301667
"joint_BH_m50_T240_B3_H8",3,8,3,6.14490284389678,2.74720099612819,9,1.43644120115229,1.06640836055051,1.06687090160127,0.00640836055051475,0.00640836055051471,3.64291929955129e-17,0.00142472885510404,0.00142472885510404,1.0614247288551,0.00498363169541071,0.777676545526203,4.49795098032655,0.104167275773738,0.0217924211222162,0.0822587215035603,0.0153089084768611,0.0120050447313201,0.0669498130266992,0.907394782353465
"joint_BH_m50_T240_B3_H8",3,8,3,6.14490284389678,2.74720099612819,10,1.37228977488974,1.06429859218395,1.06468358116233,0.00429859218394846,0.00429859218394854,-8.67361737988404e-17,0.00109842272231698,0.00109842272231698,1.06109842272232,0.00320016946163148,0.744469194724115,3.91342248900419,0.088022006033669,0.0191348087902386,0.0692415360894652,0.0134419684187073,0.0101089804659269,0.0557995676707579,0.891904125466273
"joint_BH_m50_T240_B3_H8",3,8,3,6.14490284389678,2.74720099612819,11,1.33159260106582,1.06377033670935,1.06410511453979,0.0037703367093469,0.0037703367093471,-1.99493199737333e-16,0.000862965372233533,0.000862965372233533,1.06086296537223,0.00290737133711337,0.771117160413236,4.36904750834728,0.0829806000534822,0.0169603987004387,0.0680831852472564,0.0119144720074905,0.00967383429096062,0.0561687132397658,0.886141062499362
"joint_BH_m50_T240_B3_H8",3,8,3,6.14490284389678,2.74720099612819,12,1.296586855213,1.06304080394103,1.06333273650512,0.00304080394102835,0.0030408039410284,-5.160802341031e-17,0.000688421185341021,0.000688421185341021,1.06068842118534,0.00235238275568733,0.773605533703627,4.4170690934243,0.0755660637275711,0.0151483902922722,0.0631817543879128,0.0106415583314766,0.00886395616756293,0.0525401960564362,0.878487963386885
"joint_BH_m50_T240_B3_H8",3,8,3,6.14490284389678,2.74720099612819,13,1.26917982285828,1.06234404398781,1.0626025887114,0.00234404398780796,0.00234404398780793,3.59955121265187e-17,0.000556117125315067,0.000556117125315067,1.06055611712532,0.0017879268624929,0.762753118880196,4.21501852955877,0.0662970027917121,0.013615152408439,0.052919776363714,0.00956447752869556,0.00774002665396688,0.0433552988350184,0.878122870242359
"joint_BH_m50_T240_B3_H8",3,8,3,6.14490284389678,2.74720099612819,14,1.24816871609336,1.06219861762783,1.06243108025091,0.00219861762783102,0.00219861762783119,-1.65666091955785e-16,0.000453940002590179,0.000453940002590179,1.06045394000259,0.00174467762524084,0.793533902010056,4.843410175983,0.0639326222612872,0.0123009485080105,0.0502475632509529,0.00864126541202611,0.00755303163947104,0.0416062978389268,0.881372682045297
"joint_BH_m50_T240_B3_H8",3,8,3,6.14490284389678,2.74720099612819,15,1.22849234379969,1.06189242366879,1.06210067356896,0.00189242366879405,0.00189242366879403,2.27682456221956e-17,0.000373768843010638,0.000373768843010638,1.06037376884301,0.00151865482578341,0.802491984657525,5.06308565890869,0.0604447644173558,0.0111619717943058,0.0480733433081199,0.00784114824424591,0.00722305128011712,0.040232195063874,0.866730074574381
"joint_BH_m50_T240_B3_H8",3,8,3,6.14490284389678,2.74720099612819,16,1.21234921758012,1.06164912660518,1.0618375017189,0.0016491266051808,0.00164912660518082,-2.94902990916057e-17,0.000310004069091412,0.000310004069091412,1.06031000406909,0.00133912253608938,0.812019242114267,5.31969341568388,0.0558269789974996,0.0101653671698142,0.0414530872998569,0.00714104572243824,0.00667738780328297,0.0343120415774186,0.872782240985834
"joint_BH_m50_T240_B3_H8",3,8,3,6.14490284389678,2.74720099612819,17,1.19835263850911,1.06153192534504,1.0617029512365,0.00153192534504099,0.00153192534504096,2.60208521396521e-17,0.000258689953417644,0.000258689953417644,1.06025868995342,0.00127323539162334,0.831134099154993,5.9218586760026,0.0545159909378844,0.00928601014820402,0.0444820194728397,0.00652330820319618,0.00660110370119182,0.0379587112696435,0.868660733713373
"joint_BH_m50_T240_B3_H8",3,8,3,6.14490284389678,2.74720099612819,18,1.18295473804859,1.06093284461263,1.06108537197943,0.000932844612631101,0.000932844612631143,-4.25007251614318e-17,0.000216972389593477,0.000216972389593477,1.06021697238959,0.000715872223037624,0.767407790477019,4.29937013819544,0.0415502968574411,0.00850435946232826,0.0332269967066122,0.00597420818609212,0.0048593416752828,0.0272527885205201,0.874594700078152
"joint_BH_m50_T240_B3_H8",3,8,3,6.14490284389678,2.74720099612819,19,1.17615033896049,1.06121220243967,1.06135587511032,0.0012122024396668,0.00121220243966691,-1.07119174641568e-16,0.000182753503487987,0.000182753503487987,1.06018275350349,0.00102944893617881,0.849238462563876,6.63299152427182,0.0478479325838708,0.00780498779601837,0.0376535103349268,0.00548290817078849,0.00582551985752501,0.0321706021641383,0.874955120444002
"joint_BH_m50_T240_B3_H8",3,8,3,6.14490284389678,2.74720099612819,20,1.16454146739352,1.06091570314874,1.06104523535405,0.000915703148740343,0.000915703148740352,-8.45677694538693e-18,0.000154465695325825,0.000154465695325825,1.06015446569533,0.000761237453414518,0.831314661811188,5.92819749918446,0.041609472714891,0.00717555329633947,0.0336048095639993,0.00504073815701523,0.00502813802139847,0.0285640714069841,0.868684844724589
"joint_BH_m50_T240_B3_H8",3,8,3,6.14490284389678,2.74720099612819,21,1.15440614328743,1.0606764255226,1.06079358766981,0.000676425522601942,0.000676425522602015,-7.3075226425523e-17,0.000130920281954163,0.000130920281954163,1.06013092028195,0.000545505240647779,0.806452776278215,5.16669772250236,0.0362443794619684,0.00660606493948713,0.0311502184681197,0.00464067957312513,0.0043494676855564,0.0265095388949946,0.859117483176815
"joint_BH_m50_T240_B3_H8",3,8,3,6.14490284389678,2.74720099612819,22,1.14788287988692,1.06066200197506,1.06077102807245,0.000662001975056725,0.000662001975056871,-1.46258873068295e-16,0.000111203953292421,0.000111203953292421,1.06011120395329,0.000550798021764304,0.832018698610541,5.9530435335867,0.035202143568687,0.00608834825143955,0.0294013508790751,0.00427698995140686,0.00424468387225989,0.0251243609276682,0.87576227575345
"joint_BH_m50_T240_B3_H8",3,8,3,6.14490284389678,2.74720099612819,23,1.14047936497885,1.06062106265649,1.06072088553439,0.000621062656489313,0.00062106265648929,2.25514051876985e-17,9.46065884415259e-05,9.46065884415259e-05,1.06009460658844,0.000526456068047787,0.847669816478245,6.56468716101286,0.0347098298344203,0.00561565040583089,0.0284292547481743,0.00394492551418583,0.00425025913341072,0.0244843292339885,0.854390616038
