"k","i","tau","sigma2","delta","w_opt","w_bag_mc","w_bag_smallhet_approx","diff_mc","diff_smallhet_approx","diff_approx_error"
1,1,0.109161917731504,9.16070384966683,-0.672514246805489,0.00654971506389022,0.0196666666666667,0.02,0.0131169516027764,0.0134502849361098,-0.00033333333333333
1,2,0.0589098529756786,16.9750890468672,-0.823270441072964,0.00353459117854071,0.0153333333333333,0.02,0.0117987421547926,0.0164654088214593,-0.00466666666666667
1,3,0.0541802523005605,18.456909252703,-0.837459243098319,0.00325081513803363,0.02,0.02,0.0167491848619664,0.0167491848619664,0
1,4,0.495351585896203,2.01876814059407,0.486054757688609,0.0297210951537722,0.018,0.02,-0.0117210951537722,-0.00972109515377217,-0.00199999999999999
1,5,0.204677957860141,4.88572394631431,-0.385966126419578,0.0122806774716084,0.0233333333333333,0.02,0.0110526558617249,0.00771932252839156,0.00333333333333334
1,6,0.348418300559033,2.87011330459827,0.0452549016770998,0.020905098033542,0.0253333333333333,0.02,0.00442823529979134,-0.000905098033541996,0.00533333333333334
1,7,0.0534139018554059,18.7217178536601,-0.839758294433782,0.00320483411132435,0.0216666666666667,0.02,0.0184618325553423,0.0167951658886756,0.00166666666666667
1,8,0.0708973039771502,14.1049087046003,-0.787308088068549,0.00425383823862901,0.0203333333333333,0.02,0.0160794950947043,0.015746161761371,0.000333333333333335
1,9,0.180361809528147,5.54441099596498,-0.458914571415558,0.0108217085716888,0.0166666666666667,0.02,0.00584495809497784,0.00917829142831117,-0.00333333333333333
1,10,0.208325823130734,4.80017304130585,-0.375022530607799,0.012499549387844,0.0193333333333333,0.02,0.00683378394548931,0.00750045061215597,-0.000666666666666663
1,11,0.239788271418713,4.17034575579313,-0.280635185743862,0.0143872962851227,0.0173333333333333,0.02,0.00294603704821058,0.00561270371487724,-0.00266666666666666
1,12,0.0795730230314019,12.5670731348911,-0.761280930905794,0.00477438138188411,0.0203333333333333,0.02,0.0155589519514492,0.0152256186181159,0.000333333333333337
1,13,0.163362785323468,6.12134518899112,-0.509911644029596,0.00980176711940807,0.0193333333333333,0.02,0.00953156621392526,0.0101982328805919,-0.000666666666666664
1,14,0.337062031873261,2.96681294669229,0.0111860956197833,0.0202237219123957,0.0226666666666667,0.02,0.00244294475427101,-0.000223721912395667,0.00266666666666667
1,15,0.507744948425387,1.96949276029469,0.523234845276161,0.0304646969055232,0.014,0.02,-0.0164646969055232,-0.0104646969055232,-0.006
1,16,0.052759681202007,18.9538673702592,-0.841720956393979,0.00316558087212042,0.0233333333333333,0.02,0.0201677524612129,0.0168344191278796,0.00333333333333334
1,17,0.0707255866945078,14.13915453709,-0.787823239916476,0.00424353520167047,0.0233333333333333,0.02,0.0190897981316629,0.0157564647983295,0.00333333333333334
1,18,2.35889735001491,0.423926882614744,6.07669205004473,0.141533841000895,0.0213333333333333,0.02,-0.120200507667561,-0.121533841000895,0.00133333333333335
1,19,1.21251155404424,0.824734409057442,2.63753466213273,0.0727506932426546,0.0186666666666667,0.02,-0.0540840265759879,-0.0527506932426546,-0.00133333333333332
1,20,0.21141386455796,4.73005875036092,-0.365758406326119,0.0126848318734776,0.0186666666666667,0.02,0.00598183479318905,0.00731516812652237,-0.00133333333333333
1,21,0.33897408630548,2.95007801598973,0.0169222589164391,0.0203384451783288,0.0176666666666667,0.02,-0.0026717785116621,-0.000338445178328781,-0.00233333333333332
1,22,0.428281905850328,2.33491068929135,0.284845717550983,0.0256969143510196,0.021,0.02,-0.00469691435101965,-0.00569691435101966,0.00100000000000001
1,23,0.0689779899705431,14.497378082879,-0.793066030088371,0.00413867939823259,0.0233333333333333,0.02,0.0191946539351007,0.0158613206017674,0.00333333333333333
1,24,0.0743103641154145,13.4570730732373,-0.777068907653756,0.00445862184692487,0.0246666666666667,0.02,0.0202080448197418,0.0155413781530751,0.00466666666666667
1,25,0.0677599135354994,14.7579881352136,-0.796720259393502,0.00406559481212996,0.0186666666666667,0.02,0.0146010718545367,0.01593440518787,-0.00133333333333333
1,26,0.0180752380473787,55.3243059581737,-0.945774285857864,0.00108451428284272,0.0253333333333333,0.02,0.0242488190504906,0.0189154857171573,0.00533333333333334
1,27,1.09889746737477,0.910003007276893,2.2966924021243,0.0659338480424861,0.022,0.02,-0.0439338480424861,-0.0459338480424861,0.00200000000000002
1,28,0.432293160779476,2.31324501686976,0.296879482338428,0.0259375896467685,0.017,0.02,-0.00893758964676854,-0.00593758964676855,-0.00299999999999999
1,29,0.181166509682708,5.51978399181715,-0.456500470951875,0.0108699905809625,0.0176666666666667,0.02,0.00679667608570417,0.0091300094190375,-0.00233333333333333
1,30,0.350131747510631,2.85606777194529,0.0503952425318945,0.0210079048506379,0.02,0.02,-0.00100790485063788,-0.00100790485063789,7.15573433840433e-18
1,31,0.0427341194824481,23.4005055471126,-0.871797641552656,0.00256404716894688,0.023,0.02,0.0204359528310531,0.0174359528310531,0.003
1,32,1.73505580761439,0.576350337327159,4.20516742284317,0.104103348456863,0.0186666666666667,0.02,-0.0854366817901967,-0.0841033484568634,-0.00133333333333333
1,33,0.140086164850945,7.13846368100678,-0.579741505447165,0.0084051698910567,0.0196666666666667,0.02,0.01126149677561,0.0115948301089433,-0.000333333333333333
1,34,0.13588332477271,7.35925472586636,-0.59235002568187,0.00815299948636261,0.0226666666666667,0.02,0.0145136671803041,0.0118470005136374,0.00266666666666667
1,35,0.526103214984605,1.90076770397471,0.578309644953814,0.0315661928990763,0.0196666666666667,0.02,-0.0118995262324096,-0.0115661928990763,-0.000333333333333326
1,36,0.0767012739911237,13.0375930928569,-0.769896178026629,0.00460207643946742,0.0233333333333333,0.02,0.0187312568938659,0.0153979235605326,0.00333333333333334
1,37,0.0985426890862776,10.1478862538901,-0.704371932741167,0.00591256134517666,0.0193333333333333,0.02,0.0134207719881567,0.0140874386548233,-0.000666666666666661
1,38,0.431152685312775,2.31936396099345,0.293458055938326,0.0258691611187665,0.0196666666666667,0.02,-0.00620249445209985,-0.00586916111876653,-0.000333333333333324
1,39,0.195364529458472,5.11863644220312,-0.413906411624584,0.0117218717675083,0.0216666666666667,0.02,0.00994479489915836,0.00827812823249168,0.00166666666666667
1,40,0.0425254332852986,23.515339474406,-0.872423700144104,0.00255152599711792,0.0166666666666667,0.02,0.0141151406695488,0.0174484740028821,-0.00333333333333333
1,41,0.436615156909942,2.29034650807201,0.309845470729825,0.0261969094145965,0.0173333333333333,0.02,-0.00886357608126317,-0.00619690941459651,-0.00266666666666666
1,42,0.513252909514694,1.94835719673864,0.539758728544081,0.0307951745708816,0.024,0.02,-0.00679517457088161,-0.0107951745708816,0.00400000000000001
1,43,0.134367991457633,7.44224862745906,-0.596896025627101,0.00806207948745798,0.0183333333333333,0.02,0.0102712538458754,0.011937920512542,-0.00166666666666666
1,44,0.0882594389265317,11.330232915172,-0.735221683220405,0.0052955663355919,0.0146666666666667,0.02,0.00937110033107477,0.0147044336644081,-0.00533333333333333
1,45,0.124880864915958,8.00763191921337,-0.625357405252126,0.00749285189495749,0.0133333333333333,0.02,0.00584048143837585,0.0125071481050425,-0.00666666666666666
1,46,0.79652653962665,1.25545094890212,1.38957961887995,0.047791592377599,0.0233333333333333,0.02,-0.0244582590442656,-0.027791592377599,0.00333333333333335
1,47,0.440275359315394,2.27130585176275,0.320826077946181,0.0264165215589236,0.023,0.02,-0.00341652155892361,-0.00641652155892362,0.00300000000000001
1,48,0.0374971899583593,26.6686650682492,-0.887508430124922,0.00224983139750156,0.0166666666666667,0.02,0.0144168352691651,0.0177501686024984,-0.00333333333333333
1,49,0.194188908926083,5.1496246903609,-0.417433273221751,0.011651334535565,0.0206666666666667,0.02,0.0090153321311017,0.00834866546443503,0.00066666666666667
1,50,0.400246878703735,2.49845795984384,0.200740636111205,0.0240148127222241,0.0183333333333333,0.02,-0.00568147938889075,-0.00401481272222409,-0.00166666666666666
